1;"Mission Brewery";"San Diego";"CA"
2;"Center of the Universe Brewing C...";"Ashland";"VA"
3;"Speakasy Ales & Lagers";"San Francisco";"CA"
4;"Brewery Vivant";"Grand Rapids";"MI"
5;"Anchor Brewing Company";"San Francisco";"CA"
6;"Wolverine State Brewing Company";"Ann Arbor";"MI"
7;"Telluride Brewing Company";"Telluride";"CO"
8;"Chapman's Brewing";"Angola";"IN"
9;"Grimm Brothers Brewhouse";"Loveland";"CO"
10;"Hardywood Park Craft Brewery";"Richmond";"VA"
11;"Howard Brewing Company";"Lenoir";"NC"
12;"Vander Mill Ciders";"Spring Lake";"MI"
13;"Catawba Island Brewing";"Port Clinton";"OH"
14;"Cigar City Brewing Company";"Tampa";"FL"
15;"Fort Pitt Brewing Company";"Latrobe";"PA"
16;"Miami Brewing Company";"Miami";"FL"
17;"KelSo Beer Company";"Brooklyn";"NY"
18;"High Noon Saloon And Brewery";"Leavenworth";"KS"
19;"NoDa Brewing Company";"Charlotte";"NC"
20;"Shipyard Brewing Company";"Portland";"ME"
21;"Twisted X Brewing Company";"Dripping Springs";"TX"
22;"Southern Star Brewing Company";"Conroe";"TX"
23;"Kona Brewing Company";"Kona";"HI"
24;"The Black Tooth Brewing Company";"Sheridan";"WY"
25;"Ruhstaller Beer Company";"Sacramento";"CA"
26;"Tonka Beer Company";"Minnetonka";"MN"
27;"Big Choice Brewing";"Broomfield";"CO"
28;"Green Room Brewing";"Jacksonville";"FL"
29;"Cascadia Ciderworks United";"Portland";"OR"
30;"Chatham Brewing";"Chatham";"NY"
31;"Pug Ryan's Brewery";"Dillon";"CO"
32;"Mikerphone Brewing";"Chicago";"IL"
33;"La Cumbre Brewing Company";"Albuquerque";"NM"
34;"Aspen Brewing Company";"Aspen";"CO"
35;"Witch's Hat Brewing Company";"South Lyon";"MI"
36;"Pizza Port Brewing Company";"Carlsbad";"CA"
37;"Manzanita Brewing Company";"Santee";"CA"
38;"Buffalo Bayou Brewing Company";"Houston";"TX"
39;"Against The Grain Brewery";"Louisville";"KY"
40;"Big Wood Brewery";"Vadnais Heights";"MN"
41;"Two Beers Brewing Company";"Seattle";"WA"
42;"Rochester Mills Brewing Company";"Rochester";"MI"
43;"Due South Brewing Company";"Boynton Beach";"FL"
44;"Lost Nation Brewing";"East Fairfield";"VT"
45;"Seattle Cider Company";"Seattle";"WA"
46;"Horny Goat Brew Pub";"Milwaukee";"WI"
47;"Northwoods Brewpub";"Eau Claire";"WI"
48;"Indeed Brewing Company";"Minneapolis";"MN"
49;"The Lion Brewery";"Wilkes-Barre";"PA"
50;"Petoskey Brewing";"Petoskey";"MI"
51;"Worthy Brewing Company";"Bend";"OR"
52;"Fargo Brewing Company";"Fargo";"ND"
53;"Brew Bus Brewing";"Tampa";"FL"
54;"Crooked Fence Brewing Company";"Garden City";"ID"
55;"Angry Minnow Brewing Company";"Hayward";"WI"
56;"Jack's Hard Cider (Hauser Estate...";"Biglerville";"PA"
57;"Champion Brewing Company";"Charlottesville";"VA"
58;"Great Divide Brewing Company";"Denver";"CO"
59;"Cape Cod Beer";"Hyannis";"MA"
60;"Seven Brides Brewery";"Silverton";"OR"
61;"Coastal Empire Beer Company";"Savannah";"GA"
62;"Bozeman Brewing Company";"Bozeman";"MT"
63;"Uinta Brewing Company";"Salt Lake City";"UT"
64;"18th Street Brewery";"Gary";"IN"
65;"Summit Brewing Company";"St Paul";"MN"
66;"Blue Mountain Brewery";"Arrington";"VA"
67;"Uncle Billy's Brewery and Smokeh...";"Austin";"TX"
68;"Centennial Beer Company";"Edwards";"CO"
69;"Stillwater Artisanal Ales";"Baltimore";"MD"
70;"Manayunk Brewing Company";"Philadelphia";"PA"
71;"Latitude 42 Brewing Company";"Portage";"MI"
72;"Sprecher Brewing Company";"Glendale";"WI"
73;"New Republic Brewing Company";"College Station";"TX"
74;"Ale Asylum";"Madison";"WI"
